"No.","Time","Source","Destination","Protocol","Length","Info"
"19745","73.657843","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19746","73.657843","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19747","73.657843","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19748","73.657987","192.168.1.8","118.98.109.79","UDP","82","54407  >  443 Len=40"
"19749","73.658844","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19750","73.659207","192.168.1.8","118.98.109.79","UDP","82","54407  >  443 Len=40"
"19751","73.659362","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19752","73.659461","192.168.1.8","118.98.109.79","UDP","84","54407  >  443 Len=42"
"19753","73.659700","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19754","73.659700","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19755","73.659783","192.168.1.8","118.98.109.79","UDP","84","54407  >  443 Len=42"
"19756","73.659828","192.168.1.8","118.98.109.79","UDP","86","54407  >  443 Len=44"
"19757","73.665237","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19758","73.665237","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19759","73.665477","192.168.1.8","118.98.109.79","UDP","88","54407  >  443 Len=46"
"19760","73.665611","192.168.1.8","118.98.109.79","UDP","88","54407  >  443 Len=46"
"19761","73.669444","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19762","73.669444","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19763","73.669460","192.168.1.8","104.19.133.78","TCP","55","[TCP Keep-Alive] 65141  >  443 [ACK] Seq=1 Ack=1 Win=65340 Len=1"
"19764","73.669740","192.168.1.8","118.98.109.79","UDP","88","54407  >  443 Len=46"
"19765","73.669887","192.168.1.8","118.98.109.79","UDP","88","54407  >  443 Len=46"
"19766","73.670675","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19767","73.670675","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19768","73.670675","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19769","73.670675","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19770","73.672341","192.168.1.8","118.98.109.79","UDP","94","54407  >  443 Len=52"
"19771","73.678461","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19772","73.678461","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19773","73.678461","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19774","73.678461","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19775","73.678461","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19776","73.678461","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19777","73.678461","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19778","73.678461","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19779","73.678461","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19780","73.678461","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19781","73.678461","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19782","73.678461","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19783","73.678461","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19784","73.678461","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19785","73.679130","192.168.1.8","118.98.109.79","UDP","76","54407  >  443 Len=34"
"19786","73.679664","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19787","73.679997","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19788","73.679997","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19789","73.679997","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19790","73.679997","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19791","73.680418","192.168.1.8","118.98.109.79","UDP","76","54407  >  443 Len=34"
"19792","73.682509","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19793","73.682509","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19794","73.682509","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19795","73.682509","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19796","73.682509","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19797","73.682509","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19798","73.682509","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19799","73.682674","192.168.1.8","118.98.109.79","UDP","78","54407  >  443 Len=36"
"19800","73.682774","192.168.1.8","118.98.109.79","UDP","78","54407  >  443 Len=36"
"19801","73.682826","192.168.1.8","118.98.109.79","UDP","78","54407  >  443 Len=36"
"19802","73.682874","192.168.1.8","118.98.109.79","UDP","78","54407  >  443 Len=36"
"19803","73.683125","192.168.1.8","118.98.109.79","UDP","80","54407  >  443 Len=38"
"19804","73.684537","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19805","73.684537","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19806","73.684762","192.168.1.8","118.98.109.79","UDP","80","54407  >  443 Len=38"
