"No.","Time","Source","Destination","Protocol","Length","Info"
"19978","73.788830","192.168.1.8","118.98.109.79","UDP","82","54407  >  443 Len=40"
"19979","73.789007","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19980","73.789289","192.168.1.8","118.98.109.79","UDP","82","54407  >  443 Len=40"
"19981","73.790802","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19982","73.790802","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19983","73.790972","192.168.1.8","118.98.109.79","UDP","84","54407  >  443 Len=42"
"19984","73.791086","192.168.1.8","118.98.109.79","UDP","84","54407  >  443 Len=42"
"19985","73.791213","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19986","73.791319","192.168.1.8","118.98.109.79","UDP","84","54407  >  443 Len=42"
"19987","73.792065","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19988","73.792182","192.168.1.8","118.98.109.79","UDP","84","54407  >  443 Len=42"
"19989","73.796190","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19990","73.796190","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19991","73.796190","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19992","73.796190","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19993","73.796394","192.168.1.8","118.98.109.79","UDP","86","54407  >  443 Len=44"
"19994","73.796526","192.168.1.8","118.98.109.79","UDP","86","54407  >  443 Len=44"
"19995","73.796597","192.168.1.8","118.98.109.79","UDP","86","54407  >  443 Len=44"
"19996","73.796675","192.168.1.8","118.98.109.79","UDP","91","54407  >  443 Len=49"
"19997","73.798678","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
